file,valid_hex,checksum_status,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,rtos_core_hits,service_flag_hits,secondary_flag_hits,arithmetic_hits,notes
ppkp2012 a01.PZU,false,checksum_error,0x4658,dispatcher_candidate,17,hypothesis,dispatcher_or_router,41,40,1,11,3,7,0,0,2,1,1,0,26,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x84FA,xdata_writer_candidate,16,hypothesis,state_reader_or_packet_builder,1,0,8,2,49,1,0,0,47,44,3,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x44FE,dispatcher_candidate,14,hypothesis,dispatcher_or_router,11,10,1,12,6,5,1,0,5,0,5,0,2,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x4FE9,xdata_writer_candidate,14,hypothesis,unknown,4,3,1,7,33,2,0,0,18,4,14,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x6C3B,dispatcher_candidate,13,hypothesis,dispatcher_or_router,36,35,1,32,20,5,0,0,22,0,22,0,1,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x8216,dispatcher_candidate,13,hypothesis,dispatcher_or_router,17,16,1,6,9,10,0,0,4,4,0,0,3,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0xB606,dispatcher_candidate,13,hypothesis,dispatcher_or_router,41,40,1,46,11,4,0,0,4,3,0,0,4,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0xAB52,dispatcher_candidate,12,hypothesis,dispatcher_or_router,154,153,1,75,5,0,1,0,1,1,0,0,53,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x9920,state_update_candidate,11,hypothesis,state_update_worker,1,0,2,4,5,3,0,0,3,0,3,0,14,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x9B4F,state_update_candidate,11,hypothesis,state_update_worker,12,11,1,2,35,6,0,0,21,0,21,0,2,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0xAA18,table_string_candidate,11,hypothesis,state_reader_or_packet_builder,16,15,1,1,10,0,0,0,1,1,0,0,12,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x41E8,xdata_writer_candidate,10,hypothesis,unknown,8,7,1,3,1,2,0,0,1,0,1,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x6C28,table_string_candidate,10,hypothesis,unknown,1,0,2,1,1,0,1,0,1,0,1,0,2,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x75F7,dispatcher_candidate,10,hypothesis,dispatcher_or_router,262,261,1,91,87,1,1,0,0,0,0,0,27,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x95D3,dispatcher_candidate,10,hypothesis,dispatcher_or_router,31,30,8,16,4,0,0,0,4,0,4,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x4441,xdata_writer_candidate,9,hypothesis,unknown,3,2,1,0,9,2,0,0,10,10,0,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0xA1DD,dispatcher_candidate,9,hypothesis,dispatcher_or_router,35,34,1,16,12,1,0,0,0,0,0,0,1,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0xAAA4,dispatcher_candidate,9,hypothesis,dispatcher_or_router,25,24,1,4,8,4,0,0,0,0,0,0,12,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x4228,dispatcher_candidate,8,hypothesis,dispatcher_or_router,61,60,1,13,5,0,1,0,0,0,0,0,25,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x6743,dispatcher_candidate,8,hypothesis,dispatcher_or_router,8,7,1,7,1,0,1,0,0,0,0,0,4,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x84C4,xdata_reader_candidate,8,hypothesis,unknown,1,0,1,1,2,0,0,0,2,2,0,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x95BA,xdata_reader_candidate,8,hypothesis,unknown,2,1,1,1,1,0,0,0,1,0,1,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x97CA,xdata_reader_candidate,8,hypothesis,unknown,2,1,1,1,1,0,0,0,1,0,1,0,0,checksum_error_limits_confidence
