file,branch,code_addr,opcode_hex,mnemonic,operands,length,target_addr,fallthrough_addr,is_reachable,source,confidence
90CYE03_19_DKS.PZU,90CYE_DKS,0x7033,E0,MOVX,"A,@DPTR",1,,0x7034,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7034,5A F0,UNK,,2,,0x7036,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x7036,90 30 F6,MOV,"DPTR,#0x30F6",3,,0x7039,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7039,E0,MOVX,"A,@DPTR",1,,0x703A,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x703A,CA,UNK,,1,,0x703B,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x703B,F0,MOVX,"@DPTR,A",1,,0x703C,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x703C,CA,UNK,,1,,0x703D,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x703D,6A 5A,UNK,,2,,0x703F,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x703F,FA,MOV,"R2,A",1,,0x7040,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7040,7B 00,MOV,"R3,#0x00",2,,0x7042,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7042,EA,MOV,"A,R2",1,,0x7043,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7043,13,UNK,,1,,0x7044,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x7044,FA,MOV,"R2,A",1,,0x7045,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7045,50 0C,JNC,+12,2,0x7053,0x7047,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7047,90 36 8B,MOV,"DPTR,#0x368B",3,,0x704A,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x704A,EB,MOV,"A,R3",1,,0x704B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x704B,23,UNK,,1,,0x704C,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x704C,23,UNK,,1,,0x704D,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x704D,12 5A 7F,LCALL,0x5A7F,3,0x5A7F,0x7050,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7050,12 7D 38,LCALL,0x7D38,3,0x7D38,0x7053,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7053,0B,INC,R3,1,,0x7054,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7054,BB 08 EB,CJNE,"R3,#0x08,-21",3,0x7042,0x7057,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7057,90 30 F3,MOV,"DPTR,#0x30F3",3,,0x705A,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x705A,E0,MOVX,"A,@DPTR",1,,0x705B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x705B,F4,UNK,,1,,0x705C,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x705C,F5 F0,MOV,"0xF0,A",2,,0x705E,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x705E,90 30 E9,MOV,"DPTR,#0x30E9",3,,0x7061,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7061,E0,MOVX,"A,@DPTR",1,,0x7062,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7062,55 F0,UNK,,2,,0x7064,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x7064,90 30 F2,MOV,"DPTR,#0x30F2",3,,0x7067,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7067,F0,MOVX,"@DPTR,A",1,,0x7068,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7068,90 FF 9E,MOV,"DPTR,#0xFF9E",3,,0x706B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x706B,F4,UNK,,1,,0x706C,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x706C,43 8E,UNK,,2,,0x706E,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x706E,07,UNK,,1,,0x706F,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x706F,F0,MOVX,"@DPTR,A",1,,0x7070,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7070,53 8E,UNK,,2,,0x7072,True,flow,medium
90CYE03_19_DKS.PZU,90CYE_DKS,0x7072,F8,MOV,"R0,A",1,,0x7073,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7073,90 30 F4,MOV,"DPTR,#0x30F4",3,,0x7076,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7076,E0,MOVX,"A,@DPTR",1,,0x7077,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7077,D2 E0,SETB,0xE0,2,,0x7079,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7079,F0,MOVX,"@DPTR,A",1,,0x707A,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x707A,90 00 01,MOV,"DPTR,#0x0001",3,,0x707D,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x707D,E0,MOVX,"A,@DPTR",1,,0x707E,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x707E,90 30 F5,MOV,"DPTR,#0x30F5",3,,0x7081,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7081,F0,MOVX,"@DPTR,A",1,,0x7082,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7082,22,RET,,1,,,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6E32,90 30 E3,MOV,"DPTR,#0x30E3",3,,0x6E35,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6E35,E0,MOVX,"A,@DPTR",1,,0x6E36,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6E36,90 31 BF,MOV,"DPTR,#0x31BF",3,,0x6E39,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6E39,12 5A 7F,LCALL,0x5A7F,3,0x5A7F,0x6E3C,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6E3C,E0,MOVX,"A,@DPTR",1,,0x6E3D,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6E3D,54 0F,ANL,"A,#0x0F",2,,0x6E3F,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6E3F,FA,MOV,"R2,A",1,,0x6E40,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6E40,12 5A CD,LCALL,0x5ACD,3,0x5ACD,0x6E43,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6E43,E0,MOVX,"A,@DPTR",1,,0x6E44,True,flow,high
