file,branch,code_addr,dptr_addr,target_addr,evidence_type,confidence
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x4206,0x447C,0x9B22,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x472F,0x2F22,0x476E,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x473E,0x2F22,0x476E,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7087,0x3313,0x72DC,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x70B8,0x3313,0x72DC,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x70C1,0x32DA,0x72DC,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x70E6,0x3140,0x72C8,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x70EE,0x3313,0x72DC,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x711D,0x3313,0x72DC,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7154,0x3313,0x72DC,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7174,0x3313,0x72E4,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x718C,0x3313,0x72E4,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x71A4,0x3313,0x72D1,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x71C6,0x3313,0x72DC,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7200,0x3088,0x9B0E,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x720A,0x308A,0x9B0E,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7214,0x300A,0x9B0E,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x721E,0x300C,0x9B0E,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x7228,0x300E,0x9B0E,probable_pointer_argument,medium
